index,chosen_icon,icon_1,icon_2,icon_3,icon_4,icon_5,icon_6,icon_7,icon_8,nums_worker,sequence_pos,sid
0,BM-237.jpg,BM-237.jpg,LF-231.jpg,BM-015.jpg,BF-016.jpg,,,,,4,5,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,WF-249.jpg,WF-028.jpg,AF-253.jpg,LM-251.jpg,WF-249.jpg,,,,,4,6,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,WM-011.jpg,WM-011.jpg,BF-015.jpg,WM-207.jpg,AF-221.jpg,,,,,4,7,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,BM-214.jpg,BM-214.jpg,LF-226.jpg,LM-246.jpg,LF-231.jpg,,,,,4,8,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,AM-206.jpg,BM-011.jpg,AM-214.jpg,AM-206.jpg,BF-038.jpg,,,,,4,9,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,WM-011.jpg,WM-011.jpg,BF-018.jpg,WM-213.jpg,LF-250.jpg,,,,,4,10,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,BM-204.jpg,BM-204.jpg,WF-252.jpg,WM-040.jpg,WF-218.jpg,,,,,4,11,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,WM-019.jpg,WM-019.jpg,AF-220.jpg,,,,,,,2,0,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,LM-208.jpg,LM-208.jpg,LF-206.jpg,,,,,,,2,1,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,BF-034.jpg,BF-034.jpg,WF-008.jpg,,,,,,,2,2,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,BF-005.jpg,LM-214.jpg,BF-005.jpg,,,,,,,2,3,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,LF-251.jpg,BM-200.jpg,LF-251.jpg,,,,,,,2,4,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,AM-203.jpg,AM-203.jpg,WM-208.jpg,,,,,,,2,5,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,AF-232.jpg,LM-239.jpg,AF-232.jpg,,,,,,,2,6,d46bd44a-4c23-11e9-b667-005056a4a701-81861
